,number,value,datetime_start,datetime_complete,duration,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,205.0500030517578,2020-05-31 07:45:44.920062,2020-05-31 08:25:05.018035,0 days 00:39:20.097973000,1.0,No,6,element_wise_huber_loss,5,8,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
1,1,218.0,2020-05-31 08:25:05.020989,2020-05-31 08:56:25.137573,0 days 00:31:20.116584000,0.5,Transformer,6,element_wise_huber_loss,5,5,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
2,2,173.25,2020-05-31 08:56:25.138543,2020-05-31 09:19:41.438479,0 days 00:23:16.299936000,1.0,No,3,element_wise_huber_loss,5,7,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
3,3,142.10000610351562,2020-05-31 09:19:41.440440,2020-05-31 09:42:31.084602,0 days 00:22:49.644162000,0.5,No,1,element_wise_huber_loss,5,0,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
4,4,480.8500061035156,2020-05-31 09:42:31.086554,2020-05-31 10:06:56.059513,0 days 00:24:24.972959000,1.0,Transformer,1,element_wise_huber_loss,5,9,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
5,5,178.14999389648438,2020-05-31 10:06:56.061507,2020-05-31 10:32:19.482304,0 days 00:25:23.420797000,0.5,Transformer,3,element_wise_huber_loss,5,4,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
6,6,459.54998779296875,2020-05-31 10:32:19.484298,2020-05-31 10:57:02.364212,0 days 00:24:42.879914000,0.5,Transformer,1,element_wise_huber_loss,5,3,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
7,7,336.75,2020-05-31 10:57:02.367172,2020-05-31 14:22:21.056642,0 days 03:25:18.689470000,1.0,Transformer,3,element_wise_huber_loss,5,10,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
8,8,201.10000610351562,2020-05-31 14:22:21.059634,2020-05-31 14:46:49.934366,0 days 00:24:28.874732000,1.0,No,1,element_wise_huber_loss,5,6,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
9,9,178.89999389648438,2020-05-31 14:46:49.937358,2020-05-31 15:13:03.574825,0 days 00:26:13.637467000,0.5,No,6,element_wise_huber_loss,5,2,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
10,10,164.25,2020-05-31 15:13:03.576818,2020-05-31 15:38:00.578978,0 days 00:24:57.002160000,0.5,No,3,element_wise_huber_loss,5,1,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
11,11,316.70001220703125,2020-05-31 15:38:00.581971,2020-05-31 16:05:43.201180,0 days 00:27:42.619209000,1.0,Transformer,6,element_wise_huber_loss,5,11,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5])])",COMPLETE
