,number,value,datetime_start,datetime_complete,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,168.6999969482422,2020-05-28 23:40:44.701535,2020-05-29 00:30:27.028563,0.5,No,6,element_wise_squared_loss,5,5,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
1,1,151.75,2020-05-29 00:30:27.045092,2020-05-29 01:17:31.509485,1.0,No,6,element_wise_squared_loss,5,16,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
2,2,186.5500030517578,2020-05-29 01:17:31.511584,2020-05-29 02:01:13.868651,1.0,No,1,element_wise_squared_loss,5,12,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
3,3,164.79998779296875,2020-05-29 02:01:13.872537,2020-05-29 02:50:19.688512,0.5,No,6,element_wise_squared_loss,5,4,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
4,4,458.29998779296875,2020-05-29 02:50:19.693915,2020-05-29 03:31:54.718785,0.5,Transformer,1,element_wise_squared_loss,5,7,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
5,5,177.60000610351562,2020-05-29 03:31:54.725514,2020-05-29 04:20:23.056549,0.5,No,3,element_wise_squared_loss,5,2,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
6,6,210.35000610351562,2020-05-29 04:20:23.061770,2020-05-29 05:07:51.570340,0.5,No,1,element_wise_squared_loss,5,1,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
7,7,217.39999389648438,2020-05-29 05:07:51.576515,2020-05-29 05:57:00.223110,1.0,Transformer,3,element_wise_squared_loss,5,20,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
8,8,460.8500061035156,2020-05-29 05:57:00.232185,2020-05-29 06:45:02.478667,1.0,Transformer,1,element_wise_squared_loss,5,18,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
9,9,185.25,2020-05-29 06:45:02.490345,2020-05-29 07:31:29.153086,1.0,No,1,element_wise_squared_loss,5,13,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('target_update_period', [5])])",COMPLETE
