,number,value,datetime_start,datetime_complete,duration,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_num_heads,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,-9.649999618530273,2020-05-30 16:12:06.661105,2020-05-30 16:14:35.757758,0 days 00:02:29.096653000,0.5,No,1,element_wise_huber_loss,2,5,0,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
1,1,-64.94999694824219,2020-05-30 16:14:35.758757,2020-05-30 16:37:46.789895,0 days 00:23:11.031138000,0.5,No,6,element_wise_huber_loss,4,5,5,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
2,2,-9.899999618530273,2020-05-30 16:37:46.790868,2020-05-30 16:38:59.326019,0 days 00:01:12.535151000,0.5,Transformer,3,element_wise_huber_loss,2,5,8,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
3,3,-9.800000190734863,2020-05-30 16:38:59.329004,2020-05-30 16:40:18.119225,0 days 00:01:18.790221000,0.5,Transformer,3,element_wise_huber_loss,4,5,9,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
4,4,-10.0,2020-05-30 16:40:18.122184,2020-05-30 16:42:27.059307,0 days 00:02:08.937123000,0.5,No,1,element_wise_huber_loss,4,5,1,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
5,5,-9.899999618530273,2020-05-30 16:42:27.061301,2020-05-30 16:43:44.166921,0 days 00:01:17.105620000,0.5,Transformer,1,element_wise_huber_loss,4,5,7,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
6,6,-56.95000076293945,2020-05-30 16:43:44.167888,2020-05-30 17:08:56.327672,0 days 00:25:12.159784000,0.5,No,6,element_wise_huber_loss,2,5,4,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
7,7,-9.600000381469727,2020-05-30 17:08:56.330700,2020-05-30 17:12:10.919224,0 days 00:03:14.588524000,0.5,No,3,element_wise_huber_loss,4,5,3,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
8,8,-149.5,2020-05-30 17:12:10.922220,2020-05-30 17:41:05.533525,0 days 00:28:54.611305000,0.5,Transformer,6,element_wise_huber_loss,2,5,10,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
9,9,-10.25,2020-05-30 17:41:05.536517,2020-05-30 17:42:27.324464,0 days 00:01:21.787947000,0.5,Transformer,1,element_wise_huber_loss,2,5,6,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
10,10,-92.1500015258789,2020-05-30 17:42:27.326436,2020-05-30 18:13:24.196885,0 days 00:30:56.870449000,0.5,Transformer,6,element_wise_huber_loss,4,5,11,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
11,11,-9.399999618530273,2020-05-30 18:13:24.199877,2020-05-30 18:16:24.769123,0 days 00:03:00.569246000,0.5,No,3,element_wise_huber_loss,2,5,2,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
