,number,value,datetime_start,datetime_complete,duration,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_num_heads,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,-107.44999694824219,2020-05-28 22:45:51.887460,2020-05-28 23:45:11.864086,0 days 00:59:19.976626000,0.5,Transformer,6,element_wise_squared_loss,4,5,21,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
1,1,-164.3000030517578,2020-05-28 23:45:11.866470,2020-05-29 00:42:54.323969,0 days 00:57:42.457499000,0.5,No,6,element_wise_squared_loss,2,5,8,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
2,2,-121.5999984741211,2020-05-29 00:42:54.325729,2020-05-29 01:36:09.037908,0 days 00:53:14.712179000,0.5,No,1,element_wise_squared_loss,2,5,2,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
3,3,-109.69999694824219,2020-05-29 01:36:09.042874,2020-05-29 02:34:02.021125,0 days 00:57:52.978251000,0.5,Transformer,3,element_wise_squared_loss,4,5,19,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
4,4,-109.64999389648438,2020-05-29 02:34:02.028745,2020-05-29 03:29:39.820165,0 days 00:55:37.791420000,0.5,No,1,element_wise_squared_loss,4,5,3,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
5,5,-157.25,2020-05-29 03:29:39.828487,2020-05-29 04:28:34.498496,0 days 00:58:54.670009000,0.5,No,6,element_wise_squared_loss,4,5,9,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
6,6,-92.54999542236328,2020-05-29 04:28:34.502601,2020-05-29 05:22:15.889182,0 days 00:53:41.386581000,0.5,Transformer,6,element_wise_squared_loss,2,5,22,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
7,7,-42.54999923706055,2020-05-29 05:22:15.892607,2020-05-29 06:12:56.476866,0 days 00:50:40.584259000,0.5,Transformer,3,element_wise_squared_loss,2,5,16,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
8,8,-118.25,2020-05-29 06:12:56.481441,2020-05-29 07:06:27.362707,0 days 00:53:30.881266000,0.5,No,6,element_wise_squared_loss,2,5,10,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
9,9,-115.1500015258789,2020-05-29 07:06:27.366688,2020-05-29 07:56:27.288316,0 days 00:49:59.921628000,0.5,Transformer,1,element_wise_squared_loss,2,5,14,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1, 3, 6]), ('loss_function', ['element_wise_squared_loss', 'element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5])])",COMPLETE
