,number,value,datetime_start,datetime_complete,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,602.458984375,2020-05-20 01:19:35.456062,2020-05-20 03:03:13.577627,0.5,No,6,element_wise_huber_loss,5,2,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
1,1,-250.87039184570312,2020-05-20 03:03:13.581971,2020-05-20 05:39:29.071612,1.0,No,3,element_wise_huber_loss,10,9,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
2,2,585.410888671875,2020-05-20 05:39:29.075673,2020-05-20 06:01:38.636372,0.5,Transformer,3,element_wise_huber_loss,5,4,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
3,3,262.81884765625,2020-05-20 06:01:38.640182,2020-05-20 08:29:53.165146,0.5,No,3,element_wise_huber_loss,5,0,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
4,4,546.5897216796875,2020-05-20 08:29:53.172811,2020-05-20 09:15:42.121048,1.0,No,6,element_wise_huber_loss,5,10,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
5,5,479.0157470703125,2020-05-20 09:15:42.142305,2020-05-20 10:06:57.980341,1.0,Transformer,6,element_wise_huber_loss,10,15,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
6,6,545.4522094726562,2020-05-20 10:06:57.987807,2020-05-20 11:03:13.524643,0.5,Transformer,6,element_wise_huber_loss,10,7,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
7,7,529.1881713867188,2020-05-20 11:03:13.548832,2020-05-20 12:22:13.532913,1.0,Transformer,3,element_wise_huber_loss,10,13,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
8,8,452.218505859375,2020-05-20 12:22:13.540271,2020-05-20 12:40:55.671247,1.0,Transformer,6,element_wise_huber_loss,5,14,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
9,9,519.4755859375,2020-05-20 12:40:55.683825,2020-05-20 13:01:35.824441,0.5,Transformer,6,element_wise_huber_loss,5,6,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
10,10,481.6781921386719,2020-05-20 13:01:35.836200,2020-05-20 13:20:41.517241,1.0,Transformer,3,element_wise_huber_loss,5,12,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
11,11,467.714111328125,2020-05-20 13:20:41.526414,2020-05-20 23:39:31.110908,1.0,No,6,element_wise_huber_loss,10,11,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
12,12,518.368896484375,2020-05-20 23:39:31.127069,2020-05-21 00:32:41.601540,0.5,Transformer,3,element_wise_huber_loss,10,5,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
13,13,460.5343933105469,2020-05-21 00:32:41.618654,2020-05-21 01:59:01.166105,0.5,No,6,element_wise_huber_loss,10,3,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
14,14,147.7416534423828,2020-05-21 01:59:01.177649,2020-05-21 04:05:37.453125,0.5,No,3,element_wise_huber_loss,10,1,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
15,15,-204.8558349609375,2020-05-21 04:05:37.467559,2020-05-21 06:47:21.217642,1.0,No,3,element_wise_huber_loss,5,8,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
