,number,value,datetime_start,datetime_complete,duration,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,367.70001220703125,2020-05-20 00:33:35.260799,2020-05-20 03:49:50.974690,0 days 03:16:15.713891000,0.5,No,3,element_wise_huber_loss,5,0,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
1,1,202.75,2020-05-20 03:49:50.976914,2020-05-20 07:21:32.929342,0 days 03:31:41.952428000,1.0,Transformer,6,element_wise_huber_loss,10,15,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
2,2,278.75,2020-05-20 07:21:32.934444,2020-05-20 10:37:29.478312,0 days 03:15:56.543868000,0.5,Transformer,3,element_wise_huber_loss,10,5,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
3,3,267.79998779296875,2020-05-20 10:37:29.482479,2020-05-20 13:52:49.142512,0 days 03:15:19.660033000,0.5,Transformer,3,element_wise_huber_loss,5,4,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
4,4,95.30000305175781,2020-05-20 13:52:49.145844,2020-05-20 17:15:18.816161,0 days 03:22:29.670317000,1.0,No,6,element_wise_huber_loss,10,11,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
5,5,128.04998779296875,2020-05-20 17:15:18.818839,2020-05-20 20:28:54.751718,0 days 03:13:35.932879000,1.0,No,3,element_wise_huber_loss,10,9,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
6,6,220.85000610351562,2020-05-20 20:28:54.755099,2020-05-21 03:01:29.517345,0 days 06:32:34.762246000,0.5,No,3,element_wise_huber_loss,10,1,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
7,7,139.54998779296875,2020-05-21 03:01:29.520569,2020-05-21 06:36:12.304961,0 days 03:34:42.784392000,0.5,No,6,element_wise_huber_loss,5,2,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
8,8,432.6499938964844,2020-05-21 06:36:12.308273,2020-05-21 09:57:47.199628,0 days 03:21:34.891355000,1.0,Transformer,3,element_wise_huber_loss,5,12,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
9,9,179.39999389648438,2020-05-21 09:57:47.202516,2020-05-21 13:32:31.183692,0 days 03:34:43.981176000,1.0,No,6,element_wise_huber_loss,5,10,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
