,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_custom_last_layer,params_custom_layer_init,params_custom_lr_schedule,params_doubleQ,params_encoder_type,params_epsilon_greedy,params_gamma,params_gradient_clipping,params_initial_collect_steps,params_layer_type,params_learning_rate,params_loss_function,params_normalize_env,params_num_heads,params_rate,params_replay_buffer_max_length,params_target_update_period,params_target_update_tau,state
8,8,-0.0,2020-05-17 02:53:10.188771,2020-05-17 02:54:52.749855,0 days 00:01:42.561084000,128,True,1.0,Transformer_low,True,3,0.3,0.95,True,100,7,0.001,element_wise_squared_loss,False,2,0.3,100000,5,0.1,COMPLETE
9,9,-0.0,2020-05-17 02:54:52.754773,2020-05-17 02:56:30.393792,0 days 00:01:37.639019000,64,True,0.5,Transformer,False,2,0.3,0.99,True,100,7,0.01,element_wise_huber_loss,False,2,0.1,200000,10,0.1,COMPLETE
11,11,-0.0,2020-05-17 02:58:46.551829,2020-05-17 03:01:02.405622,0 days 00:02:15.853793000,64,True,1.0,Transformer_low,False,2,0.2,0.95,True,100,7,0.01,element_wise_huber_loss,False,2,0.3,200000,10,0.1,COMPLETE
12,12,-0.0,2020-05-17 03:01:02.425970,2020-05-17 03:03:02.552066,0 days 00:02:00.126096000,64,True,0.1,No,False,2,0.3,0.99,True,100,7,0.01,element_wise_squared_loss,False,2,0.3,100000,10,0.1,COMPLETE
13,13,-0.0,2020-05-17 03:03:02.560562,2020-05-17 03:05:03.691605,0 days 00:02:01.131043000,64,True,1.0,Transformer,False,3,0.3,0.95,True,100,7,0.01,element_wise_huber_loss,False,2,0.3,200000,10,0.1,COMPLETE
16,16,-0.0,2020-05-17 03:43:30.405318,2020-05-17 03:45:31.948043,0 days 00:02:01.542725000,64,True,0.1,Transformer,False,2,0.3,0.95,True,100,7,0.01,element_wise_huber_loss,False,2,0.1,100000,5,0.1,COMPLETE
18,18,-0.0,2020-05-17 04:04:43.748707,2020-05-17 04:06:41.036007,0 days 00:01:57.287300000,64,True,1.0,Transformer_low,True,3,0.3,0.95,True,100,7,0.01,element_wise_squared_loss,False,2,0.3,200000,10,0.1,COMPLETE
19,19,-0.0,2020-05-17 04:06:41.043278,2020-05-17 04:08:51.046700,0 days 00:02:10.003422000,64,True,0.1,Transformer,False,2,0.2,0.99,True,100,7,0.01,element_wise_huber_loss,False,2,0.1,100000,10,0.1,COMPLETE
21,21,-0.0,2020-05-17 04:11:01.264831,2020-05-17 04:12:42.267110,0 days 00:01:41.002279000,64,True,1.0,Transformer_low,True,3,0.3,0.95,True,100,7,0.01,element_wise_squared_loss,False,2,0.3,200000,10,0.1,COMPLETE
22,22,-0.0,2020-05-17 04:12:42.273804,2020-05-17 04:14:26.057313,0 days 00:01:43.783509000,64,True,0.1,No,False,3,0.3,0.95,True,100,7,0.01,element_wise_squared_loss,False,2,0.3,200000,10,0.1,COMPLETE
23,23,-0.0,2020-05-17 04:14:26.063978,2020-05-17 04:16:11.001495,0 days 00:01:44.937517000,64,True,1.0,Transformer_low,False,2,0.2,0.95,True,100,7,0.01,element_wise_huber_loss,False,2,0.3,200000,10,0.1,COMPLETE
24,24,-0.0,2020-05-17 04:16:11.008950,2020-05-17 04:17:59.172265,0 days 00:01:48.163315000,64,True,1.0,Transformer_low,False,2,0.2,0.95,True,100,7,0.01,element_wise_huber_loss,False,2,0.3,200000,10,0.1,COMPLETE
